# Date,Receipt_Count,month,Month,Day,Year
1/1/2021,7564766,January,1,1,2021
1/2/2021,7455524,January,1,2,2021
1/3/2021,7095414,January,1,3,2021
1/4/2021,7666163,January,1,4,2021
1/5/2021,7771289,January,1,5,2021
1/6/2021,7473320,January,1,6,2021
1/7/2021,7832624,January,1,7,2021
1/8/2021,7765028,January,1,8,2021
1/9/2021,7385245,January,1,9,2021
1/10/2021,7392087,January,1,10,2021
1/11/2021,7738899,January,1,11,2021
1/12/2021,7840830,January,1,12,2021
1/13/2021,8122546,January,1,13,2021
1/14/2021,7694195,January,1,14,2021
1/15/2021,7200595,January,1,15,2021
1/16/2021,7744470,January,1,16,2021
1/17/2021,7610648,January,1,17,2021
1/18/2021,7880913,January,1,18,2021
1/19/2021,7250032,January,1,19,2021
1/20/2021,7666397,January,1,20,2021
1/21/2021,7742477,January,1,21,2021
1/22/2021,7807438,January,1,22,2021
1/23/2021,7603625,January,1,23,2021
1/24/2021,7572947,January,1,24,2021
1/25/2021,7598153,January,1,25,2021
1/26/2021,7194687,January,1,26,2021
1/27/2021,7787109,January,1,27,2021
1/28/2021,7631075,January,1,28,2021
1/29/2021,7750536,January,1,29,2021
1/30/2021,8059526,January,1,30,2021
1/31/2021,7838129,January,1,31,2021
2/1/2021,7714465,February,2,1,2021
2/2/2021,7766408,February,2,2,2021
2/3/2021,7832259,February,2,3,2021
2/4/2021,7506461,February,2,4,2021
2/5/2021,7816477,February,2,5,2021
2/6/2021,7360372,February,2,6,2021
2/7/2021,8039414,February,2,7,2021
2/8/2021,7858632,February,2,8,2021
2/9/2021,7810951,February,2,9,2021
2/10/2021,7579882,February,2,10,2021
2/11/2021,8127696,February,2,11,2021
2/12/2021,7748085,February,2,12,2021
2/13/2021,8117805,February,2,13,2021
2/14/2021,7780006,February,2,14,2021
2/15/2021,7916028,February,2,15,2021
2/16/2021,7736671,February,2,16,2021
2/17/2021,8082781,February,2,17,2021
2/18/2021,7824063,February,2,18,2021
2/19/2021,7761256,February,2,19,2021
2/20/2021,7821879,February,2,20,2021
2/21/2021,7760399,February,2,21,2021
2/22/2021,8330147,February,2,22,2021
2/23/2021,8053953,February,2,23,2021
2/24/2021,7816117,February,2,24,2021
2/25/2021,8156649,February,2,25,2021
2/26/2021,7857443,February,2,26,2021
2/27/2021,7881212,February,2,27,2021
2/28/2021,7975949,February,2,28,2021
3/1/2021,7970632,March,3,1,2021
3/2/2021,7998865,March,3,2,2021
3/3/2021,7748662,March,3,3,2021
3/4/2021,8080043,March,3,4,2021
3/5/2021,7971011,March,3,5,2021
3/6/2021,8309959,March,3,6,2021
3/7/2021,7945271,March,3,7,2021
3/8/2021,8352635,March,3,8,2021
3/9/2021,7861647,March,3,9,2021
3/10/2021,7920726,March,3,10,2021
3/11/2021,7921232,March,3,11,2021
3/12/2021,8142874,March,3,12,2021
3/13/2021,7731725,March,3,13,2021
3/14/2021,8070687,March,3,14,2021
3/15/2021,7825047,March,3,15,2021
3/16/2021,7920469,March,3,16,2021
3/17/2021,7946897,March,3,17,2021
3/18/2021,8090998,March,3,18,2021
3/19/2021,8415152,March,3,19,2021
3/20/2021,8325436,March,3,20,2021
3/21/2021,8105278,March,3,21,2021
3/22/2021,7562433,March,3,22,2021
3/23/2021,8096085,March,3,23,2021
3/24/2021,8034268,March,3,24,2021
3/25/2021,8050876,March,3,25,2021
3/26/2021,8077321,March,3,26,2021
3/27/2021,7999117,March,3,27,2021
3/28/2021,8082481,March,3,28,2021
3/29/2021,8126444,March,3,29,2021
3/30/2021,7911341,March,3,30,2021
3/31/2021,8013013,March,3,31,2021
4/1/2021,8353242,April,4,1,2021
4/2/2021,8042185,April,4,2,2021
4/3/2021,8401675,April,4,3,2021
4/4/2021,8134408,April,4,4,2021
